"Pipeline name","Run start","Run end","Duration","Triggered by","Status","Error","Run","Parameters","Annotations","Run ID"
"Dataflows_with_trigger","5/14/2026, 9:00:00 PM","5/14/2026, 9:05:11 PM","5m 11s","SelectedFilesTrigger","Succeeded","","Original","","[]","8c84870e-e16d-4191-957a-3a5523b3f5b0"
"Dataflows","5/14/2026, 9:00:00 PM","5/14/2026, 9:04:45 PM","4m 45s","SelectedFilesTrigger","Succeeded","","Original","","[]","d0bc7aae-0dd2-4709-b3e9-77d54bc43bde"
"Dataflows_with_trigger","5/14/2026, 8:45:01 PM","5/14/2026, 8:50:06 PM","5m 5s","SelectedFilesTrigger","Succeeded","","Original","","[]","e0fdf904-dd38-4992-9688-ddc845c28f86"
"Dataflows","5/14/2026, 8:45:01 PM","5/14/2026, 8:50:13 PM","5m 12s","SelectedFilesTrigger","Succeeded","","Original","","[]","d710b420-a28e-43ce-bcd5-a8368a7fc4d0"
"Dataflows","5/14/2026, 8:30:01 PM","5/14/2026, 8:35:30 PM","5m 30s","SelectedFilesTrigger","Succeeded","","Original","","[]","7ca6c5ba-5cbe-47ec-beac-df4a92371b76"
"Dataflows_with_trigger","5/14/2026, 8:30:01 PM","5/14/2026, 8:35:02 PM","5m 2s","SelectedFilesTrigger","Succeeded","","Original","","[]","a79c1548-4f91-4ceb-9ae9-e818dfad80c3"
"Dataflows_with_trigger","5/14/2026, 8:15:00 PM","5/14/2026, 8:20:05 PM","5m 5s","SelectedFilesTrigger","Succeeded","","Original","","[]","b0a1b823-2de6-430c-866a-ac06cb70f6e4"
"Dataflows","5/14/2026, 8:15:00 PM","5/14/2026, 8:21:05 PM","6m 5s","SelectedFilesTrigger","Succeeded","","Original","","[]","237e3cab-e8a6-4aa1-8936-11dd53fe7d43"
"Dataflows","5/14/2026, 8:00:00 PM","5/14/2026, 8:06:29 PM","6m 30s","SelectedFilesTrigger","Succeeded","","Original","","[]","880a8edc-f601-4af0-b0cf-56cbfd3d0d87"
"Dataflows_with_trigger","5/14/2026, 8:00:00 PM","5/14/2026, 8:05:24 PM","5m 25s","SelectedFilesTrigger","Succeeded","","Original","","[]","927d1bf4-afdb-42de-9649-bb76c6659d1b"
"Dataflows","5/14/2026, 7:45:00 PM","5/14/2026, 7:51:02 PM","6m 3s","SelectedFilesTrigger","Succeeded","","Original","","[]","bc1c85dd-03a2-4337-a3ed-dd7e12c1a263"
"Dataflows_with_trigger","5/14/2026, 7:45:00 PM","5/14/2026, 7:49:49 PM","4m 50s","SelectedFilesTrigger","Succeeded","","Original","","[]","05d37fed-84cf-4e70-9771-32aa0cc34512"
"Dataflows","5/14/2026, 7:30:01 PM","5/14/2026, 7:35:17 PM","5m 17s","SelectedFilesTrigger","Succeeded","","Original","","[]","a8ce87bd-209b-4111-b88e-d64281f5d3fe"
"Dataflows_with_trigger","5/14/2026, 7:30:01 PM","5/14/2026, 7:35:41 PM","5m 41s","SelectedFilesTrigger","Succeeded","","Original","","[]","82bbe711-8bdd-45cd-a975-e3600f2372de"
"Dataflows","5/14/2026, 7:15:00 PM","5/14/2026, 7:20:23 PM","5m 24s","SelectedFilesTrigger","Succeeded","","Original","","[]","ddffe9f9-34b2-4be8-83c4-abc3a5f676f9"
"Dataflows_with_trigger","5/14/2026, 7:15:00 PM","5/14/2026, 7:19:57 PM","4m 57s","SelectedFilesTrigger","Succeeded","","Original","","[]","0a233e3f-b33f-443c-a873-3d7b988e4951"
"Dataflows_with_trigger","5/14/2026, 7:00:00 PM","5/14/2026, 7:05:03 PM","5m 3s","SelectedFilesTrigger","Succeeded","","Original","","[]","27734a5a-9d6a-41b9-9ed9-665a1702c697"
"Dataflows","5/14/2026, 7:00:00 PM","5/14/2026, 7:04:55 PM","4m 56s","SelectedFilesTrigger","Succeeded","","Original","","[]","27860eab-36ba-457f-a20f-543bedd8ecbe"
"Dataflows_with_trigger","5/14/2026, 6:45:00 PM","5/14/2026, 6:50:20 PM","5m 21s","SelectedFilesTrigger","Succeeded","","Original","","[]","fb83cac8-a3ad-438a-abae-1428fcd2c603"
"Dataflows","5/14/2026, 6:45:00 PM","5/14/2026, 6:49:36 PM","4m 37s","SelectedFilesTrigger","Succeeded","","Original","","[]","b95f6ed5-ea00-4d26-83d4-3966fec63a83"
